Stream,Number,Date,Length
"Elden Ring Q&A",1,,13197
"Hollow Knight",1,,17892
"Hollow Knight",2,,17790
"Vampire Survivors",1,,19041
"Resident Evil Village",1,,14988
"Resident Evil Village",2,,15656
"Resident Evil Village",3,,15183
"Resident Evil Village",4,,15442
"Resident Evil Village",5,,15808
"Outer Wilds DLC",1,,14738
"Outer Wilds DLC",2,,14661
"Outer Wilds DLC",3,,17789
"Wandersong",1,,19212
"Wandersong",2,,19882
"999",1,,14866
"999",2,,14411
"999",3,,14396
"999",4,,15822
"999",5,,14739
"999",6,,11960
"Hatsune Miku: Project DIVA",1,,11913
"Virtue's Last Reward",1,,16116
"Virtue's Last Reward",2,,15764
"Virtue's Last Reward",3,,15687
"Virtue's Last Reward",4,,16647
"Virtue's Last Reward",5,,14141
"Virtue's Last Reward",6,,16697
"Virtue's Last Reward",7,,14653
"Virtue's Last Reward",8,,17030
"Virtue's Last Reward",9,,14737
"Virtue's Last Reward",10,,18260
"Virtue's Last Reward",11,,15906
"Virtue's Last Reward",12,,18645
"PowerWash Simulator",1,,15636
"Neon White",1,,17132
"Neon White",2,,11415
"Zero Time Dilema",1,,14643
"Zero Time Dilema",2,,14077
"Zero Time Dilema",3,,14841
"Zero Time Dilema",4,,15472
"Zero Time Dilema",5,,15852
"Zero Time Dilema",6,,14412
"God of War Ragnarök",1,,15066
"God of War Ragnarök",2,,22213
"God of War Ragnarök",3,,30294
"God of War Ragnarök",4,,27326
"God of War Ragnarök",5,,26503
"God of War Ragnarök",6,,21341
"God of War Ragnarök",7,,30845
"God of War Ragnarök",8,,28188
"God of War Ragnarök",9,,27146
"God of War Ragnarök",10,,25670
"God of War Ragnarök",11,,31148
"Stray",1,,10031
"2022 Game Awards",1,,14582
"Life is Strange",1,,16974
"Life is Strange",2,,16957
"Life is Strange",3,,18861
"Life is Strange",4,,20235
"Life is Strange",5,,17833
"Life is Strange: Before the Storm",1,,22397
"Life is Strange: Before the Storm",2,,18586
"Life is Strange: Before the Storm",3,,14985
"Captain Spirit",1,,21981
"Life is Strange 2",1,,16966
"Life is Strange 2",2,,18338
"Life is Strange 2",3,,23002
"Life is Strange: True Colors",1,,15479
"Life is Strange: True Colors",2,,23210
"Life is Strange: True Colors",3,,17097
"AI: The Somnium Files",1,,18854
"AI: The Somnium Files",2,,18612
"AI: The Somnium Files",3,,17527
"AI: The Somnium Files",4,,18452
"AI: The Somnium Files",5,,17770
"AI: The Somnium Files",6,,23042
"AI: The Somnium Files",7,,18967
"AI: The Somnium Files",8,,23076
"Dead Space",1,,19418
"Hypnospace Outlaw",1,,15122
"Hypnospace Outlaw",2,,15508
"Hypnospace Outlaw",3,,18429
"Hypnospace Outlaw",4,,18480
"Half-Life 1",1,,19416
"Half-Life 1",2,,18945
"Half-Life 1",3,,19463
"Half-Life: Opposing Force",1,,23055
"Half-Life 2",1,,19565
"Half-Life 2",2,,22535
"Half-Life 2",3,,19076
"Half-Life 2",4,,21787
"Half-Life 2",5,,20113
"Half-Life 2",6,,21669
"Half-Life 2: Episode One",1,,25655
"Hunt Down The Freeman",1,,21754
"Black Mesa",1,,17945
"Black Mesa",2,,17461
"Black Mesa",3,,25332
"FORSPOKEN",1,,19787
"FORSPOKEN",2,,22292
"FORSPOKEN",3,,23083
"FORSPOKEN",4,,25915
"Deadly Premonition",1,,17731
"Deadly Premonition",2,,20889
"Deadly Premonition",3,,18360
"Deadly Premonition",4,,21835
"Deadly Premonition",5,,22091
"Deadly Premonition",6,,24075
"Pizza Tower",1,,19845
"Gravity Rush",1,,19327
"Gravity Rush",2,,20593
"Gravity Rush",3,,21390
"Tier Lists",1,,20499
"13 Sentinels",1,,19635
"13 Sentinels",2,,19002
"13 Sentinels",3,,19257
"13 Sentinels",4,,21527
"13 Sentinels",5,,19629
"13 Sentinels",6,,19511
"13 Sentinels",7,,14669
"13 Sentinels",8,,21328
"13 Sentinels",9,,19563
"13 Sentinels",10,,36745
"Atomic heart",1,,19234
"Resident Evil 4 Remake",1,,20175
"Resident Evil 4 Remake",2,,23287
"Resident Evil 4 Remake",3,,34984
"STAR WARS Jedi: Survivor",1,,21541
"STAR WARS Jedi: Survivor",2,,19670
"STAR WARS Jedi: Survivor",3,,21364
"STAR WARS Jedi: Survivor",4,,25549
"STAR WARS Jedi: Survivor",5,,20657
"STAR WARS Jedi: Survivor",6,,26763
"STAR WARS Jedi: Survivor",7,,22612
"STAR WARS Jedi: Survivor",8,,19998
"STAR WARS Jedi: Survivor",9,,21926
"STAR WARS Jedi: Survivor",10,,23342
"STAR WARS Jedi: Survivor",11,,20944
"STAR WARS Jedi: Survivor",12,,17165
"Tears of the Kingdom",1,,29836
"Tears of the Kingdom",2,,27608
"Hi-Fi Rush",1,,15576
"Hi-Fi Rush",2,,20917
"Hi-Fi Rush",3,,19297
"Gollum",1,,17604
"Gollum",2,,18146
"Gollum",3,,23462
"Summer Game Fest",1,,18630
"XBox Games Showcase",1,,19449
"Gravity Rush 2",1,,19345
"Gravity Rush 2",2,,15177
"Gravity Rush 2",3,,16758
"Gravity Rush 2",4,,20131
"Amnesia: The Bunker",1,,20039
"Amnesia: The Bunker",2,,13446
"Darkest Dungeon II",1,,18926
"Final Fantasy XVI",1,,19075
"Final Fantasy XVI",2,,20443
"Final Fantasy XVI",3,,19545
"Final Fantasy XVI",4,,18284
"Final Fantasy XVI",5,,17879
"Final Fantasy XVI",6,,18781
"Final Fantasy XVI",7,,17651
"Final Fantasy XVI",8,,21715
"Final Fantasy XVI",9,,20209
"Final Fantasy XVI",10,,24980
"Final Fantasy XVI",11,,25655
"Diablo IV",1,,15653
"Ghost Trick",1,,15407
"Ghost Trick",2,,15311
"Ghost Trick",3,,15384
"Ghost Trick",4,,16607
"Rabi-Ribi",1,,18059
"Rabi-Ribi",2,,17464
"Rabi-Ribi",3,,17274
"Rabi-Ribi",4,,14710
"Rabi-Ribi",5,,15589
"Dujanah",1,,16782
"Twelve Minutes",1,,21573
"AI: The Somnium Files - nirvanA Initiative",1,,12984
"AI: The Somnium Files - nirvanA Initiative",2,,15681
"AI: The Somnium Files - nirvanA Initiative",3,,15653
"AI: The Somnium Files - nirvanA Initiative",4,,15398
"AI: The Somnium Files - nirvanA Initiative",5,,14774
"AI: The Somnium Files - nirvanA Initiative",6,,17665
"AI: The Somnium Files - nirvanA Initiative",7,,14753
"AI: The Somnium Files - nirvanA Initiative",8,,15161
"AI: The Somnium Files - nirvanA Initiative",9,,19091
"AI: The Somnium Files - nirvanA Initiative",10,,16862
"AI: The Somnium Files - nirvanA Initiative",11,,17570
"Inscryption",1,,16159
"Inscryption",2,,21169
"Inscryption",3,,17802
"Inscryption",4,,7193
"Armored Core VI",1,,17840
"Armored Core VI",2,,21305
"Armored Core VI",3,,18596
"Armored Core VI",4,,20767
"Starfield",1,,29187
"Starfield",2,,19499
"Starfield",3,,20139
"Starfield",4,,21599
"Starfield",5,,24853
"Starfield",6,,24661
"Starfield",7,,22622
"Starfield",8,,24515
"Starfield",9,,21436
"Starfield",10,,21730
"Starfield",11,,17986
"Lies of P",1,,22913
"Lies of P",2,,22602
"Lies of P",3,,25443
"Lies of P",4,,22020
"Lies of P",5,,20368
"Lies of P",6,,18191
"Lies of P",7,,19164
"Lies of P",8,,20906
"Super Mario Bros. Wonder",1,,18655
"Alan Wake",1,,22736
"Alan Wake",2,,23296
"Alan Wake",3,,18087
"Alan Wake's American Nightmare",1,,30991
"Alan Wake 2",1,,20118
"Alan Wake 2",2,,19062
"Alan Wake 2",3,,19319
"Alan Wake 2",4,,14751
"Alan Wake 2",5,,21193
"Alan Wake 2",6,,22013
"Slay The Princess",1,,23444
"JADSEYA Nominations",1,,14107
"VA-11 Hall-A",1,,15999
"VA-11 Hall-A",2,,16380
"VA-11 Hall-A",3,,15744
"VA-11 Hall-A",4,,19332
"2023 Game Awards",1,,22669
"2023 JADSEYA",1,,13651