Stream,Number,Date,Duration
"Elden Ring Q&A",1,"2022-04-12T06:43:58.659+00:00",13197000
"Hollow Knight",1,"2022-04-14T15:56:25.212+00:00",17892000
"Hollow Knight",2,"2022-04-15T15:15:58.294+00:00",17790000
"Vampire Survivors",1,"2022-04-18T11:23:13.707+00:00",19041000
"Resident Evil Village",1,"2022-04-20T16:08:09.428+00:00",14988000
"Resident Evil Village",2,"2022-04-21T16:22:15.490+00:00",15656000
"Resident Evil Village",3,"2022-04-22T16:21:52.125+00:00",15183000
"Resident Evil Village",4,"2022-04-25T16:43:25.111+00:00",15442000
"Resident Evil Village",5,"2022-04-26T16:50:43.045+00:00",15808000
"Outer Wilds DLC",1,"2022-04-27T17:31:17.970+00:00",14738000
"Outer Wilds DLC",2,"2022-04-28T17:00:48.033+00:00",14661000
"Outer Wilds DLC",3,"2022-04-29T17:00:00.437+00:00",17789000
"Wandersong",1,"2022-05-10T16:04:21.969+00:00",19212000
"Wandersong",2,"2022-05-11T16:23:25.921+00:00",19882000
"999",1,"2022-05-12T16:25:09.288+00:00",14866000
"999",2,"2022-05-13T18:37:58.457+00:00",14411000
"999",3,"2022-05-16T16:43:36.842+00:00",14396000
"999",4,"2022-05-17T16:41:51.131+00:00",15822000
"999",5,"2022-05-18T16:27:48.557+00:00",14739000
"999",6,"2022-05-19T16:18:51.537+00:00",11960000
"Hatsune Miku: Project DIVA",1,"2022-06-02T16:20:21.796+00:00",11913000
"Virtue's Last Reward",1,"2022-06-06T16:39:10.259+00:00",16116000
"Virtue's Last Reward",2,"2022-06-07T17:20:28.523+00:00",15764000
"Virtue's Last Reward",3,"2022-06-08T16:02:01.155+00:00",15687000
"Virtue's Last Reward",4,"2022-06-09T16:31:12.207+00:00",16647000
"Virtue's Last Reward",5,"2022-06-10T16:38:43.032+00:00",14141000
"Virtue's Last Reward",6,"2022-06-13T16:28:18.625+00:00",16697000
"Virtue's Last Reward",7,"2022-06-14T16:37:26.199+00:00",14653000
"Virtue's Last Reward",8,"2022-06-15T16:43:54.860+00:00",17030000
"Virtue's Last Reward",9,"2022-06-20T16:38:20.925+00:00",14737000
"Virtue's Last Reward",10,"2022-06-21T16:49:50.757+00:00",18260000
"Virtue's Last Reward",11,"2022-06-22T17:13:09.069+00:00",15906000
"Virtue's Last Reward",12,"2022-06-23T17:01:09.551+00:00",18645000
"PowerWash Simulator",1,"2022-07-31T15:48:26.906+00:00",15636000
"Neon White",1,"2022-08-01T15:53:17.399+00:00",17132000
"Neon White",2,"2022-08-02T16:47:09.901+00:00",11415000
"Zero Time Dilema",1,"2022-08-03T16:15:40.532+00:00",14643000
"Zero Time Dilema",2,"2022-08-04T17:12:33.150+00:00",14077000
"Zero Time Dilema",3,"2022-08-05T16:30:19.462+00:00",14841000
"Zero Time Dilema",4,"2022-08-09T17:02:47.745+00:00",15472000
"Zero Time Dilema",5,"2022-08-10T17:07:17.254+00:00",15852000
"Zero Time Dilema",6,"2022-08-11T16:43:21.411+00:00",14412000
"God of War Ragnarök",1,"2022-11-09T18:14:02.861+00:00",15066000
"God of War Ragnarök",2,"2022-11-10T17:56:54.475+00:00",22213000
"God of War Ragnarök",3,"2022-11-11T15:17:11.472+00:00",30294000
"God of War Ragnarök",4,"2022-11-12T15:34:40.001+00:00",27326000
"God of War Ragnarök",5,"2022-11-13T16:25:53.477+00:00",26503000
"God of War Ragnarök",6,"2022-11-14T15:03:02.280+00:00",21341000
"God of War Ragnarök",7,"2022-11-15T15:40:43.631+00:00",30845000
"God of War Ragnarök",8,"2022-11-17T16:14:47.368+00:00",28188000
"God of War Ragnarök",9,"2022-11-18T16:49:40.215+00:00",27146000
"God of War Ragnarök",10,"2022-11-19T17:09:01.554+00:00",25670000
"God of War Ragnarök",11,"2022-11-20T17:13:29.250+00:00",31148000
"Stray",1,"2022-12-08T21:01:07.236+00:00",10031000
"2022 Game Awards",1,"2022-12-09T00:03:22.781+00:00",14582000
"Life is Strange",1,"2022-12-15T18:13:55.468+00:00",16974000
"Life is Strange",2,"2022-12-16T18:33:26.023+00:00",16957000
"Life is Strange",3,"2022-12-17T18:05:19.898+00:00",18861000
"Life is Strange",4,"2022-12-18T18:46:56.759+00:00",20235000
"Life is Strange",5,"2022-12-19T18:58:06.256+00:00",17833000
"Life is Strange: Before the Storm",1,"2022-12-22T17:33:22.325+00:00",22397000
"Life is Strange: Before the Storm",2,"2022-12-23T17:32:16.166+00:00",18586000
"Life is Strange: Before the Storm",3,"2022-12-24T17:43:13.701+00:00",14985000
"Captain Spirit",1,"2022-12-27T17:22:27.447+00:00",21981000
"Life is Strange 2",1,"2022-12-28T17:03:58.647+00:00",16966000
"Life is Strange 2",2,"2022-12-29T17:32:10.725+00:00",18338000
"Life is Strange 2",3,"2022-12-31T17:42:27.123+00:00",23002000
"Life is Strange: True Colors",1,"2023-01-02T18:01:05.373+00:00",15479000
"Life is Strange: True Colors",2,"2023-01-03T17:14:00.255+00:00",23210000
"Life is Strange: True Colors",3,"2023-01-04T17:05:27.308+00:00",17097000
"AI: The Somnium Files",1,"2023-01-10T17:36:03.901+00:00",18854000
"AI: The Somnium Files",2,"2023-01-11T17:22:04.118+00:00",18612000
"AI: The Somnium Files",3,"2023-01-12T17:23:56.016+00:00",17527000
"AI: The Somnium Files",4,"2023-01-13T17:40:23.589+00:00",18452000
"AI: The Somnium Files",5,"2023-01-17T17:32:16.283+00:00",17770000
"AI: The Somnium Files",6,"2023-01-18T17:36:33.622+00:00",23042000
"AI: The Somnium Files",7,"2023-01-19T17:50:31.985+00:00",18967000
"AI: The Somnium Files",8,"2023-01-20T17:48:17.633+00:00",23076000
"Dead Space",1,"2023-01-30T17:52:26.839+00:00",19418000
"Hypnospace Outlaw",1,"2023-01-31T17:24:02.291+00:00",15122000
"Hypnospace Outlaw",2,"2023-02-01T17:21:18.416+00:00",15508000
"Hypnospace Outlaw",3,"2023-02-02T17:48:02.006+00:00",18429000
"Hypnospace Outlaw",4,"2023-02-03T17:23:05.315+00:00",18480000
"Half-Life 1",1,"2023-02-07T17:18:31.028+00:00",19416000
"Half-Life 1",2,"2023-02-08T18:03:45.648+00:00",18945000
"Half-Life 1",3,"2023-02-09T17:43:24.717+00:00",19463000
"Half-Life: Opposing Force",1,"2023-02-10T17:40:21.498+00:00",23055000
"Half-Life 2",1,"2023-02-14T17:53:05.297+00:00",19565000
"Half-Life 2",2,"2023-02-15T18:11:17.999+00:00",22535000
"Half-Life 2",3,"2023-02-16T18:15:03.756+00:00",19076000
"Half-Life 2",4,"2023-02-17T18:29:28.842+00:00",21787000
"Half-Life 2",5,"2023-02-21T17:10:18.966+00:00",20113000
"Half-Life 2",6,"2023-02-22T17:03:12.125+00:00",21669000
"Half-Life 2: Episode One",1,"2023-02-23T17:54:05.269+00:00",25655000
"Hunt Down The Freeman",1,"2023-02-24T18:31:27.842+00:00",21754000
"Black Mesa",1,"2023-02-28T17:11:50.237+00:00",17945000
"Black Mesa",2,"2023-03-01T17:16:19.413+00:00",17461000
"Black Mesa",3,"2023-03-02T17:18:03.381+00:00",25332000
"FORSPOKEN",1,"2023-03-03T17:54:22.823+00:00",19787000
"FORSPOKEN",2,"2023-03-07T17:34:49.696+00:00",22292000
"FORSPOKEN",3,"2023-03-09T17:01:41.187+00:00",23083000
"FORSPOKEN",4,"2023-03-10T18:03:42.118+00:00",25915000
"Deadly Premonition",1,"2023-03-11T16:39:21.637+00:00",17731000
"Deadly Premonition",2,"2023-03-14T16:21:53.826+00:00",20889000
"Deadly Premonition",3,"2023-03-15T16:10:40.327+00:00",18360000
"Deadly Premonition",4,"2023-03-16T16:31:06.530+00:00",21835000
"Deadly Premonition",5,"2023-03-17T16:41:49.034+00:00",22091000
"Deadly Premonition",6,"2023-03-18T16:20:59.949+00:00",24075000
"Pizza Tower",1,"2023-03-21T16:16:14.431+00:00",19845000
"Gravity Rush",1,"2023-03-22T16:35:46.300+00:00",19327000
"Gravity Rush",2,"2023-03-23T16:32:28.380+00:00",20593000
"Gravity Rush",3,"2023-03-24T17:00:12.709+00:00",21390000
"Tier Lists",1,"2023-03-25T17:09:07.127+00:00",20499000
"13 Sentinels",1,"2023-03-28T16:08:55.493+00:00",19635000
"13 Sentinels",2,"2023-03-29T17:03:36.990+00:00",19002000
"13 Sentinels",3,"2023-03-30T16:39:47.520+00:00",19257000
"13 Sentinels",4,"2023-03-31T16:37:36.528+00:00",21527000
"13 Sentinels",5,"2023-04-04T16:27:00.729+00:00",19629000
"13 Sentinels",6,"2023-04-05T16:30:38.143+00:00",19511000
"13 Sentinels",7,"2023-04-06T16:22:55.287+00:00",14669000
"13 Sentinels",8,"2023-04-07T16:11:39.218+00:00",21328000
"13 Sentinels",9,"2023-04-08T16:23:17.845+00:00",19563000
"13 Sentinels",10,"2023-04-11T16:12:51.383+00:00",36745000
"Atomic heart",1,"2023-04-12T16:06:04.300+00:00",19234000
"Resident Evil 4 Remake",1,"2023-04-25T16:04:03.218+00:00",20175000
"Resident Evil 4 Remake",2,"2023-04-26T16:12:10.839+00:00",23287000
"Resident Evil 4 Remake",3,"2023-04-27T16:18:58.535+00:00",34984000
"STAR WARS Jedi: Survivor",1,"2023-04-28T16:18:57.720+00:00",21541000
"STAR WARS Jedi: Survivor",2,"2023-04-29T16:11:00.159+00:00",19670000
"STAR WARS Jedi: Survivor",3,"2023-05-02T16:06:27.712+00:00",21364000
"STAR WARS Jedi: Survivor",4,"2023-05-03T16:41:19.608+00:00",25549000
"STAR WARS Jedi: Survivor",5,"2023-05-04T16:28:22.260+00:00",20657000
"STAR WARS Jedi: Survivor",6,"2023-05-05T16:57:24.021+00:00",26763000
"STAR WARS Jedi: Survivor",7,"2023-05-09T16:02:32.156+00:00",22612000
"STAR WARS Jedi: Survivor",8,"2023-05-10T16:22:46.093+00:00",19998000
"STAR WARS Jedi: Survivor",9,"2023-05-11T16:55:47.513+00:00",21926000
"STAR WARS Jedi: Survivor",10,"2023-05-12T16:50:35.923+00:00",23342000
"STAR WARS Jedi: Survivor",11,"2023-05-14T04:05:10.939+00:00",20944000
"STAR WARS Jedi: Survivor",12,"2023-05-15T05:54:32.126+00:00",17165000
"Tears of the Kingdom",1,"2023-05-16T16:06:56.530+00:00",29836000
"Tears of the Kingdom",2,"2023-05-17T16:24:45.990+00:00",27608000
"Hi-Fi Rush",1,"2023-05-30T16:31:49.356+00:00",15576000
"Hi-Fi Rush",2,"2023-05-31T16:43:58.955+00:00",20917000
"Hi-Fi Rush",3,"2023-06-01T16:10:17.398+00:00",19297000
"Gollum",1,"2023-06-02T17:27:08.402+00:00",17604000
"Gollum",2,"2023-06-06T16:51:23.677+00:00",18146000
"Gollum",3,"2023-06-07T16:57:37.797+00:00",23462000
"Summer Game Fest",1,"2023-06-08T17:53:42.454+00:00",18630000
"XBox Games Showcase",1,"2023-06-09T17:48:58.763+00:00",19449000
"Gravity Rush 2",1,"2023-06-11T16:59:39.546+00:00",19345000
"Gravity Rush 2",2,"2023-06-14T04:14:34.757+00:00",15177000
"Gravity Rush 2",3,"2023-06-15T04:11:40.064+00:00",16758000
"Gravity Rush 2",4,"2023-06-15T15:25:24.335+00:00",20131000
"Amnesia: The Bunker",1,"2023-06-16T16:11:45.328+00:00",20039000
"Amnesia: The Bunker",2,"2023-06-20T16:11:10.570+00:00",13446000
"Darkest Dungeon II",1,"2023-06-21T16:27:11.629+00:00",18926000
"Final Fantasy XVI",1,"2023-06-22T16:24:12.562+00:00",19075000
"Final Fantasy XVI",2,"2023-06-23T17:00:13.997+00:00",20443000
"Final Fantasy XVI",3,"2023-06-27T17:05:56.237+00:00",19545000
"Final Fantasy XVI",4,"2023-06-28T16:43:57.581+00:00",18284000
"Final Fantasy XVI",5,"2023-06-29T16:44:03.692+00:00",17879000
"Final Fantasy XVI",6,"2023-06-30T17:08:45.698+00:00",18781000
"Final Fantasy XVI",7,"2023-07-05T02:10:54.034+00:00",17651000
"Final Fantasy XVI",8,"2023-07-06T01:41:22.624+00:00",21715000
"Final Fantasy XVI",9,"2023-07-07T02:22:10.562+00:00",20209000
"Final Fantasy XVI",10,"2023-07-08T02:39:11.106+00:00",24980000
"Final Fantasy XVI",11,"2023-07-09T02:07:41.048+00:00",25655000
"Diablo IV",1,"2023-07-11T06:09:43.647+00:00",15653000
"Ghost Trick",1,"2023-07-12T16:37:30.531+00:00",15407000
"Ghost Trick",2,"2023-07-13T16:13:06.605+00:00",15311000
"Ghost Trick",3,"2023-07-14T17:55:47.837+00:00",15384000
"Ghost Trick",4,"2023-07-15T17:25:05.714+00:00",16607000
"Rabi-Ribi",1,"2023-07-18T16:37:40.311+00:00",18059000
"Rabi-Ribi",2,"2023-07-19T16:43:36.608+00:00",17464000
"Rabi-Ribi",3,"2023-07-20T17:28:46.089+00:00",17274000
"Rabi-Ribi",4,"2023-07-25T16:06:12.691+00:00",14710000
"Rabi-Ribi",5,"2023-07-26T16:03:19.658+00:00",15589000
"Dujanah",1,"2023-07-27T16:43:20.275+00:00",16782000
"Twelve Minutes",1,"2023-07-28T17:05:56.779+00:00",21573000
"AI: The Somnium Files - nirvanA Initiative",1,"2023-08-01T18:39:58.475+00:00",12984000
"AI: The Somnium Files - nirvanA Initiative",2,"2023-08-02T17:21:34.210+00:00",15681000
"AI: The Somnium Files - nirvanA Initiative",3,"2023-08-03T17:08:36.260+00:00",15653000
"AI: The Somnium Files - nirvanA Initiative",4,"2023-08-04T17:51:58.557+00:00",15398000
"AI: The Somnium Files - nirvanA Initiative",5,"2023-08-05T17:38:03.553+00:00",14774000
"AI: The Somnium Files - nirvanA Initiative",6,"2023-08-08T16:18:15.041+00:00",17665000
"AI: The Somnium Files - nirvanA Initiative",7,"2023-08-09T16:33:47.653+00:00",14753000
"AI: The Somnium Files - nirvanA Initiative",8,"2023-08-10T17:06:48.353+00:00",15161000
"AI: The Somnium Files - nirvanA Initiative",9,"2023-08-11T16:29:20.430+00:00",19091000
"AI: The Somnium Files - nirvanA Initiative",10,"2023-08-12T17:11:29.757+00:00",16862000
"AI: The Somnium Files - nirvanA Initiative",11,"2023-08-13T16:11:43.188+00:00",17570000
"Inscryption",1,"2023-08-22T16:20:17.664+00:00",16159000
"Inscryption",2,"2023-08-23T16:17:26.513+00:00",21169000
"Inscryption",3,"2023-08-24T16:17:17.723+00:00",17802000
"Inscryption",4,"2023-08-25T14:31:12.893+00:00",7193000
"Armored Core VI",1,"2023-08-25T17:46:47.167+00:00",17840000
"Armored Core VI",2,"2023-08-26T17:28:20.906+00:00",21305000
"Armored Core VI",3,"2023-08-29T16:08:45.526+00:00",18596000
"Armored Core VI",4,"2023-08-30T17:05:33.868+00:00",20767000
"Starfield",1,"2023-09-01T15:10:08.966+00:00",29187000
"Starfield",2,"2023-09-03T18:17:50.748+00:00",19499000
"Starfield",3,"2023-09-04T16:35:32.200+00:00",20139000
"Starfield",4,"2023-09-05T17:13:47.075+00:00",21599000
"Starfield",5,"2023-09-06T16:15:48.069+00:00",24853000
"Starfield",6,"2023-09-07T16:19:59.996+00:00",24661000
"Starfield",7,"2023-09-08T16:53:35.267+00:00",22622000
"Starfield",8,"2023-09-09T16:16:05.485+00:00",24515000
"Starfield",9,"2023-09-12T17:14:40.482+00:00",21436000
"Starfield",10,"2023-09-13T16:57:24.619+00:00",21730000
"Starfield",11,"2023-09-14T17:17:30.717+00:00",17986000
"Lies of P",1,"2023-09-19T16:06:32.042+00:00",22913000
"Lies of P",2,"2023-09-20T16:49:22.266+00:00",22602000
"Lies of P",3,"2023-09-21T16:08:09.559+00:00",25443000
"Lies of P",4,"2023-09-22T17:16:48.305+00:00",22020000
"Lies of P",5,"2023-09-23T17:39:30.038+00:00",20368000
"Lies of P",6,"2023-09-24T18:19:02.426+00:00",18191000
"Lies of P",7,"2023-09-25T18:09:46.189+00:00",19164000
"Lies of P",8,"2023-09-26T17:36:18.139+00:00",20906000
"Super Mario Bros. Wonder",1,"2023-10-22T17:24:41.985+00:00",18655000
"Alan Wake",1,"2023-10-23T16:16:51.370+00:00",22736000
"Alan Wake",2,"2023-10-24T16:11:19.372+00:00",23296000
"Alan Wake",3,"2023-10-25T16:16:53.562+00:00",18087000
"Alan Wake's American Nightmare",1,"2023-10-26T16:27:29.002+00:00",30991000
"Alan Wake 2",1,"2023-10-27T16:18:27.893+00:00",20118000
"Alan Wake 2",2,"2023-10-28T17:44:57.429+00:00",19062000
"Alan Wake 2",3,"2023-10-30T16:22:24.891+00:00",19319000
"Alan Wake 2",4,"2023-10-31T15:55:13.214+00:00",14751000
"Alan Wake 2",5,"2023-11-01T16:33:31.569+00:00",21193000
"Alan Wake 2",6,"2023-11-02T16:52:03.802+00:00",22013000
"Slay The Princess",1,"2023-11-05T17:30:33.097+00:00",23444000
"JADSEYA Nominations",1,"2023-11-27T17:06:20.691+00:00",14107000
"VA-11 Hall-A",1,"2023-11-28T17:23:12.408+00:00",15999000
"VA-11 Hall-A",2,"2023-11-29T17:26:54.456+00:00",16380000
"VA-11 Hall-A",3,"2023-11-30T17:28:28.760+00:00",15744000
"VA-11 Hall-A",4,"2023-12-01T17:27:10.751+00:00",19332000
"2023 Game Awards",1,"2023-12-07T22:00:28.590+00:00",22669000
"2023 JADSEYA",1,"2023-12-29T20:52:57.819+00:00",13651000